iter	Passed	Remaining
403	10931	16127
404	10961	16103
405	10986	16074
406	11047	16095
407	11090	16091
408	11124	16075
409	11172	16077
410	11201	16052
411	11227	16023
412	11257	16001
413	11284	15972
414	11314	15949
415	11338	15918
416	11375	15903
417	11403	15877
418	11429	15849
419	11462	15829
420	11493	15806
421	11514	15771
422	11545	15748
423	11574	15723
424	11598	15692
425	11622	15660
426	11656	15641
427	11680	15609
428	11707	15582
429	11741	15564
430	11765	15532
431	11785	15495
432	11810	15464
433	11838	15439
434	11865	15410
435	11887	15377
436	11921	15358
437	11956	15341
438	11986	15317
439	12014	15291
440	12036	15257
441	12065	15231
442	12094	15206
443	12131	15191
444	12154	15158
445	12178	15127
446	12209	15104
447	12239	15080
448	12280	15070
449	12312	15048
450	12345	15027
451	12374	15002
452	12414	14990
453	12443	14964
454	12472	14939
455	12498	14910
456	12526	14883
457	12553	14856
458	12577	14824
459	12598	14789
460	12626	14762
461	12649	14730
462	12672	14697
463	12705	14676
464	12730	14647
465	12760	14622
466	12783	14590
467	12811	14563
468	12839	14537
469	12862	14504
470	12891	14478
471	12929	14463
472	12957	14436
473	12984	14408
474	13005	14374
475	13029	14343
476	13050	14309
477	13089	14294
478	13118	14269
479	13154	14250
480	13189	14231
481	13223	14211
482	13255	14188
483	13285	14163
484	13313	14136
485	13345	14114
486	13369	14083
487	13395	14054
488	13423	14027
489	13450	13999
490	13474	13968
491	13497	13936
492	13529	13913
493	13561	13890
494	13586	13860
495	13611	13831
496	13638	13802
497	13670	13780
498	13696	13751
499	13720	13720
500	13759	13704
501	13809	13699
502	13851	13686
503	13894	13674
504	13926	13650
505	13962	13631
506	13990	13604
507	14020	13578
508	14048	13551
509	14074	13522
510	14100	13493
511	14127	13465
512	14153	13436
513	14179	13407
514	14201	13374
515	14249	13366
516	14289	13350
517	14322	13326
518	14351	13300
519	14387	13280
520	14430	13267
521	14475	13254
522	14506	13230
523	14533	13201
524	14558	13171
525	14588	13146
526	14609	13112
527	14636	13084
528	14659	13052
529	14688	13025
530	14710	12993
531	14742	12969
532	14778	12948
533	14824	12936
534	14871	12925
535	14901	12899
536	14933	12875
537	14961	12847
538	14992	12822
539	15021	12795
540	15050	12769
541	15072	12736
542	15097	12706
543	15122	12675
544	15156	12653
545	15186	12627
546	15208	12595
