iter	RMSE
163	37521.53922
164	37445.78156
165	37404.19557
166	37336.16143
167	37254.79004
168	37226.39855
169	37177.63936
170	37125.50786
171	37069.80999
172	37016.94445
173	36990.69057
174	36949.94297
175	36888.11401
176	36836.36775
177	36755.65175
178	36724.46052
179	36693.43373
180	36657.75138
181	36625.69417
182	36596.5151
183	36528.21652
184	36510.83579
185	36485.57135
186	36457.77897
187	36443.10163
188	36399.14287
189	36367.22717
190	36328.64574
191	36296.62809
192	36263.89536
193	36217.60619
194	36187.9684
195	36163.06088
196	36127.35904
197	36069.88293
198	36039.64949
199	36010.81367
200	35983.12679
201	35953.46868
202	35920.88968
203	35896.57828
204	35871.93234
205	35816.13564
206	35802.91718
207	35770.79594
208	35736.62719
209	35711.12592
210	35678.4998
211	35661.80229
212	35627.877
213	35603.12031
214	35584.11154
215	35561.82193
216	35523.17339
217	35502.26124
218	35451.61927
219	35408.25549
220	35357.23549
221	35334.63054
222	35303.25481
223	35279.01314
224	35234.73629
225	35206.16495
226	35175.64574
227	35120.66993
228	35085.73914
229	35040.54414
230	35030.54607
231	35000.90146
232	34949.17942
233	34925.27057
234	34906.9944
235	34877.15848
236	34851.47517
237	34821.65399
238	34807.22595
239	34794.83722
240	34753.43915
241	34715.76118
242	34692.89682
243	34668.68164
244	34642.03107
245	34608.19
246	34580.01458
247	34547.8725
248	34540.43695
249	34529.09074
250	34498.32598
251	34470.86662
252	34427.86087
253	34417.42724
254	34370.05271
255	34328.74933
256	34314.02746
257	34286.94921
258	34270.41166
259	34245.60369
260	34221.59805
261	34199.8007
262	34184.60791
263	34129.70432
264	34093.48099
265	34072.55345
266	34058.63806
267	34045.45102
268	34023.3367
269	34003.67236
270	33994.74078
271	33978.00846
272	33939.35001
273	33924.35189
274	33909.27322
275	33890.88449
276	33879.66423
277	33856.79229
278	33808.5645
279	33790.95568
280	33773.75913
281	33761.52342
282	33742.80743
283	33708.68182
284	33686.21575
285	33676.03074
286	33665.83126
287	33635.40323
288	33625.14623
289	33597.03572
290	33578.97536
291	33565.56048
292	33520.05577
293	33495.43145
294	33476.06431
295	33464.68477
296	33450.81498
297	33402.17509
298	33385.57797
299	33369.07228
300	33357.81106
301	33337.01653
302	33294.58937
303	33275.06043
304	33250.51272
305	33229.49426
306	33213.35205
307	33195.0244
308	33170.46002
309	33149.16946
310	33129.53169
311	33121.85697
312	33114.18268
313	33097.92333
314	33076.4333
315	33064.83881
316	33037.65839
317	33004.19897
318	32976.13614
319	32954.13602
320	32922.07977
321	32908.91241
322	32896.0368
323	32888.70998
324	32880.6989
325	32861.58776
326	32834.3404
327	32803.19387
328	32777.11983
329	32764.09362
330	32743.84605
331	32734.97229
332	32717.82141
333	32709.58745
334	32681.56946
335	32669.04482
336	32646.67351
337	32635.08104
338	32611.92038
339	32601.83424
340	32592.9915
341	32555.42741
342	32535.43414
343	32516.84298
344	32501.21356
345	32491.33794
346	32478.92802
347	32465.84851
348	32443.06916
349	32438.64045
350	32425.41853
351	32402.48364
352	32379.49953
353	32356.41798
354	32348.90114
355	32318.98728
356	32287.55467
357	32279.68886
358	32271.66744
359	32252.04496
360	32232.30325
361	32220.48524
362	32211.67911
363	32205.65084
